Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
011790,KR7011790003,SKC,KOSPI,,91000,1,500,0.55,91800,92600,90400,265292,24219646550,3446015118000,37868298,STK
005940,KR7005940002,NH투자증권,KOSPI,,10260,2,-20,-0.19,10340,10370,10230,669780,6886018640,3402892349460,331665921,STK
383220,KR7383220001,F&F,KOSPI,,87700,1,2900,3.42,84800,88300,84400,204798,17797428100,3359530477500,38307075,STK
035900,KR7035900000,JYP Ent.,KOSDAQ GLOBAL,우량기업부,94100,1,1800,1.95,92600,94100,92400,302744,28202183800,3342195997200,35517492,KSQ
010620,KR7010620003,현대미포조선,KOSPI,,81800,2,-100,-0.12,82200,82400,81100,73689,6039408600,3267267788200,39942149,STK
058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,203000,2,-3500,-1.69,206000,209500,198700,185739,37387303900,3094201110000,15242370,KSQ
272210,KR7272210006,한화시스템,KOSPI,,16000,2,-130,-0.81,16080,16240,15980,789770,12694461890,3022710224000,188919389,STK
267260,KR7267260008,HD현대일렉트릭,KOSPI,,82000,2,-200,-0.24,82100,85300,81600,261559,21814249800,2955865070000,36047135,STK
004990,KR7004990008,롯데지주,KOSPI,,28050,1,50,0.18,28000,28300,27850,172136,4822424000,2942704097850,104909237,STK
003410,KR7003410008,쌍용C&E,KOSPI,,5900,1,20,0.34,5880,5900,5800,358504,2102816230,2942312111200,498696968,STK
006260,KR7006260004,LS,KOSPI,,90200,1,3100,3.56,89800,91900,89300,371550,33624710600,2904440000000,32200000,STK
064350,KR7064350002,현대로템,KOSPI,,26350,1,300,1.15,26200,26700,26200,778126,20594493600,2875899420550,109142293,STK
079550,KR7079550000,LIG넥스원,KOSPI,,130100,1,3100,2.44,126600,135600,126600,1144691,149783902600,2862200000000,22000000,STK
001450,KR7001450006,현대해상,KOSPI,,31450,2,-100,-0.32,31500,31600,31250,316508,9948819200,2811630000000,89400000,STK
001040,KR7001040005,CJ,KOSPI,,96100,2,-700,-0.72,96800,96800,93700,112727,10715027300,2803909507800,29176998,STK
000990,KR7000990002,DB하이텍,KOSPI,,60800,2,-400,-0.65,61200,61900,60400,243322,14837481500,2699434150400,44398588,STK
000120,KR7000120006,CJ대한통운,KOSPI,,118200,2,-3600,-2.96,121100,121700,113700,283258,33168082500,2696419060800,22812344,STK
112610,KR7112610001,씨에스윈드,KOSPI,,63800,1,4000,6.69,61300,64400,60100,1339177,84466423400,2690535511400,42171403,STK
005385,KR7005381009,현대차우,KOSPI,,111100,1,500,0.45,111400,112900,105700,125557,14023614300,2678967520900,24113119,STK
008770,KR7008770000,호텔신라,KOSPI,,66000,1,400,0.61,65500,66200,65500,203230,13390698700,2590375986000,39248121,STK
039490,KR7039490008,키움증권,KOSPI,,97800,1,1100,1.14,96700,99500,96500,76171,7487990700,2564971846800,26226706,STK
008930,KR7008930000,한미사이언스,KOSPI,,36100,2,-1000,-2.7,37400,37400,36000,129189,4703595150,2525445534000,69956940,STK
263750,KR7263750002,펄어비스,KOSDAQ GLOBAL,우량기업부,39050,2,-250,-0.64,39150,39300,38900,162771,6361762650,2508878737750,64247855,KSQ
007070,KR7007070006,GS리테일,KOSPI,,23850,1,450,1.92,23500,23850,23450,158168,3763636700,2497522439700,104717922,STK
052690,KR7052690005,한전기술,KOSPI,,64600,2,-100,-0.15,65000,65500,64500,95978,6227355000,2469012000000,38220000,STK
214150,KR7214150005,클래시스,KOSDAQ GLOBAL,우량기업부,37950,2,-2150,-5.36,40100,40100,37600,355750,13643680900,2458275840900,64776702,KSQ
004370,KR7004370003,농심,KOSPI,,401000,2,-5000,-1.23,403000,405500,400000,25176,10105869000,2439139442000,6082642,STK
328130,KR7328130000,루닛,KOSDAQ,기술성장기업부,85400,2,-4400,-4.9,91000,92100,85100,1064353,92757060400,2431876703200,28476308,KSQ
014680,KR7014680003,한솔케미칼,KOSPI,,213500,1,1000,0.47,212000,216500,205000,93409,19801697000,2420064132500,11335195,STK
051915,KR7051911006,LG화학우,KOSPI,,310000,1,9000,2.99,303000,312000,302500,41945,12957964500,2383528000000,7688800,STK
002790,KR7002790004,아모레G,KOSPI,,28700,1,50,0.17,28550,28850,28450,140099,4015890350,2366549766000,82458180,STK
028670,KR7028670008,팬오션,KOSPI,,4375,2,-25,-0.57,4405,4430,4325,2681135,11775539790,2338741615000,534569512,STK
036460,KR7036460004,한국가스공사,KOSPI,,25200,2,-400,-1.56,25700,25850,25050,477484,12092554650,2326287600000,92313000,STK
012750,KR7012750006,에스원,KOSPI,,61100,2,-100,-0.16,61200,61900,60700,61262,3749720900,2321749775800,37999178,STK
282330,KR7282330000,BGF리테일,KOSPI,,134200,2,-600,-0.45,135300,136000,133300,51987,6973162900,2319500185200,17283906,STK
088350,KR7088350004,한화생명,KOSPI,,2665,2,-30,-1.11,2695,2705,2660,1302649,3486049650,2314632450000,868530000,STK
030000,KR7030000004,제일기획,KOSPI,,20050,3,0,0.0,20200,20200,20000,321903,6461605850,2306576561250,115041225,STK
081660,KR7081660003,휠라홀딩스,KOSPI,,37950,1,250,0.66,37750,38200,37600,186871,7094956850,2305546824900,60752222,STK
138930,KR7138930003,BNK금융지주,KOSPI,,7150,3,0,0.0,7180,7200,7150,1138015,8158206050,2302932331700,322088438,STK
357780,KR7357780006,솔브레인,KOSDAQ,우량기업부,291000,2,-2000,-0.68,293000,293000,285500,30457,8783818500,2263562706000,7778566,KSQ
112040,KR7112040001,위메이드,KOSDAQ,우량기업부,66700,2,-3100,-4.44,67700,69200,64500,1001084,66701122600,2254257365400,33796962,KSQ
023530,KR7023530009,롯데쇼핑,KOSPI,,77900,1,600,0.78,77300,78500,77100,51163,3983379200,2203694014500,28288755,STK
293490,KR7293490009,카카오게임즈,KOSDAQ GLOBAL,우량기업부,26550,2,-250,-0.93,26550,26750,26250,310866,8233898950,2190888583200,82519344,KSQ
010120,KR7010120004,LS ELECTRIC,KOSPI,,73000,1,1400,1.96,72300,74300,72200,241100,17663789500,2190000000000,30000000,STK
175330,KR7175330000,JB금융지주,KOSPI,,10610,1,30,0.28,10610,10800,10550,587899,6265951360,2089988505340,196982894,STK
417200,KR7417200003,LS머트리얼즈,KOSDAQ,중견기업부,30700,1,850,2.85,27750,31900,26800,23419710,701267870200,2076936631300,67652659,KSQ
139480,KR7139480008,이마트,KOSPI,,73400,1,200,0.27,73100,73900,73000,72019,5296331500,2046085114600,27875819,STK
041510,KR7041510009,에스엠,KOSDAQ,우량기업부,85800,1,1700,2.02,84800,86000,83900,109416,9339145900,2044691305800,23830901,KSQ
111770,KR7111770004,영원무역,KOSPI,,46050,1,650,1.43,45400,46100,45100,110805,5058729850,2040543101400,44311468,STK
002380,KR7002380004,KCC,KOSPI,,222500,2,-3000,-1.33,222000,226000,220500,23426,5222929000,1977239797500,8886471,STK
005290,KR7005290002,동진쎄미켐,KOSDAQ,우량기업부,38150,2,-1100,-2.8,39300,39450,38050,539379,20731337450,1961462946100,51414494,KSQ
010060,KR7010060002,OCI홀딩스,KOSPI,,98100,1,1400,1.45,99600,100400,97800,150394,14911510800,1943627341500,19812715,STK
020150,KR7020150009,롯데에너지머티리얼즈,KOSPI,,42100,2,-300,-0.71,42650,43500,41900,316115,13415959650,1941266153500,46110835,STK
000880,KR7000880005,한화,KOSPI,,25550,1,50,0.2,25650,25950,25450,370532,9508170150,1915195679250,74958735,STK
007660,KR7007660004,이수페타시스,KOSPI,,29950,2,-250,-0.83,30400,30500,29400,1685971,50313082300,1894230249050,63246419,STK
145020,KR7145020004,휴젤,KOSDAQ GLOBAL,우량기업부,150000,2,-5900,-3.78,155900,155900,148300,93259,14007550600,1857818250000,12385455,KSQ
095340,KR7095340006,ISC,KOSDAQ,우량기업부,86200,2,-1300,-1.49,87700,87700,84600,222657,19104958400,1827186399600,21197058,KSQ
047040,KR7047040001,대우건설,KOSPI,,4350,1,45,1.05,4330,4385,4305,1156720,5033829225,1807958475300,415622638,STK
